,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
4127,Ousmane Dembélé,Right Winger,20,Bor. Dortmund,German Bundesliga,FC Barcelona,LaLiga,18,33.0,115.0,1
4128,Romelu Lukaku,Centre-Forward,24,Everton,Premier League,Man Utd,Premier League,18,50.0,84.7,1
4129,Virgil van Dijk,Centre-Back,26,Southampton,Premier League,Liverpool,Premier League,18,30.0,78.8,3
4130,Diego Costa,Centre-Forward,29,Chelsea,Premier League,Atlético Madrid,LaLiga,18,50.0,66.0,1
4131,Álvaro Morata,Centre-Forward,24,Real Madrid,LaLiga,Chelsea,Premier League,18,40.0,66.0,1
4132,Aymeric Laporte,Centre-Back,23,Athletic Bilbao,LaLiga,Man City,Premier League,18,25.0,65.0,3
4133,Pierre-Emerick Aubameyang,Centre-Forward,28,Bor. Dortmund,German Bundesliga,Arsenal,Premier League,18,65.0,63.75,1
4134,Benjamin Mendy,Left-Back,23,Monaco,French Ligue 1,Man City,Premier League,18,13.0,57.5,3
4135,Alexandre Lacazette,Centre-Forward,26,Olympique Lyon,French Ligue 1,Arsenal,Premier League,18,40.0,53.0,1
4136,Kyle Walker,Right-Back,27,Spurs,Premier League,Man City,Premier League,18,30.0,52.7,3
4137,Bernardo Silva,Right Winger,22,Monaco,French Ligue 1,Man City,Premier League,18,40.0,50.0,1
4138,Gylfi Sigurdsson,Attacking Midfield,27,Swansea,Premier League,Everton,Premier League,18,25.0,49.4,2
4139,Nemanja Matic,Defensive Midfield,29,Chelsea,Premier League,Man Utd,Premier League,18,35.0,44.7,2
4140,Leonardo Bonucci,Centre-Back,30,Juventus,Italy Serie A,AC Milan,Italy Serie A,18,45.0,42.0,3
4141,Mohamed Salah,Right Winger,25,AS Roma,Italy Serie A,Liverpool,Premier League,18,35.0,42.0,1
4142,Corentin Tolisso,Central Midfield,22,Olympique Lyon,French Ligue 1,Bayern Munich ,German Bundesliga,18,22.0,41.5,2
4143,Federico Bernardeschi,Right Winger,23,Fiorentina,Italy Serie A,Juventus,Italy Serie A,18,30.0,40.0,1
4144,Cédric Bakambu,Centre-Forward,26,Villarreal CF,LaLiga,BJ Sinobo Guoan,Super League Greece,18,25.0,40.0,1
4145,Ederson,Goalkeeper,23,Benfica,LaLiga,Man City,Premier League,18,22.0,40.0,4
4146,Tiemoué Bakayoko,Defensive Midfield,22,Monaco,French Ligue 1,Chelsea,Premier League,18,16.0,40.0,2
4147,Paulinho,Central Midfield,29,GZ Evergrande,Super League Greece,FC Barcelona,LaLiga,18,15.0,40.0,2
4148,Davinson Sánchez,Centre-Back,21,AFC Ajax,Eredivisie League(Nederland),Spurs,Premier League,18,12.0,40.0,3
4149,André Silva,Centre-Forward,21,FC Porto,LaLiga,AC Milan,Italy Serie A,18,22.0,38.0,1
4150,Alex Oxlade-Chamberlain,Right Midfield,24,Arsenal,Premier League,Liverpool,Premier League,18,22.0,38.0,2
4151,Danny Drinkwater,Central Midfield,27,Leicester,Premier League,Chelsea,Premier League,18,9.0,37.9,2
