,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
777,779,Stephen Appiah,Central Midfield,22,Brescia,Serie A,Juventus,Serie A,2003-2004,4.0,8.0,M
778,780,Nicola Legrottaglie,Centre-Back,26,Chievo Verona,Serie A,Juventus,Serie A,2003-2004,3.5,7.0,D
779,781,Danko Lazovic,Second Striker,20,Partizan, Serbia,Feyenoord,Eredivisie,2003-2004,3.5,7.0,F
780,782,Ricardo Quaresma,Right Winger,19,Sporting CP,Liga NOS,FC Barcelona,LaLiga,2003-2004,3.175,6.35,F
781,783,Luca Toni,Centre-Forward,26,Brescia,Serie A,US Palermo,Serie B,2003-2004,3.0,6.0,F
782,784,Joseph Yobo,Centre-Back,22,Marseille,Ligue 1,Everton,Premier League,2003-2004,3.0,6.0,D
783,785,Mido,Centre-Forward,20,AFC Ajax,Eredivisie,Marseille,Ligue 1,2003-2004,3.0,6.0,F
784,786,Wesley Sonck,Centre-Forward,24,KRC Genk,Jupiler Pro League,AFC Ajax,Eredivisie,2003-2004,3.0,6.0,F
785,787,Branko Boskovic,Central Midfield,23,Red Star, Serbia,Paris SG,Ligue 1,2003-2004,3.0,6.0,M
786,788,Didier Drogba,Centre-Forward,25,Guingamp,Ligue 1,Marseille,Ligue 1,2003-2004,3.0,6.0,F
787,789,Luciano Zauri,Right-Back,25,Atalanta,Serie B,Lazio,Serie A,2003-2004,2.975,5.95,D
788,790,Anthony Réveillère,Right-Back,23,Stade Rennais,Ligue 1,Olympique Lyon,Ligue 1,2003-2004,2.8,5.6,D
789,791,Aleksey Smertin,Defensive Midfield,28,G. Bordeaux,Ligue 1,Chelsea,Premier League,2003-2004,2.75,5.5,M
790,792,Jerko Leko,Defensive Midfield,23,Dinamo Zagreb, Croatia,Dynamo Kyiv,Premier Liga,2003-2004,2.75,5.5,M
791,793,Frédéric Kanouté,Centre-Forward,25,West Ham,First Division,Spurs,Premier League,2003-2004,2.625,5.25,F
792,794,Rafael Márquez,Centre-Back,24,Monaco,Ligue 1,FC Barcelona,LaLiga,2003-2004,2.625,5.25,D
793,795,Steve Finnan,Right-Back,27,Fulham,Premier League,Liverpool,Premier League,2003-2004,2.625,5.25,D
794,796,Olivier Dacourt,Defensive Midfield,28,Leeds,Premier League,AS Roma,Serie A,2003-2004,2.625,5.25,M
795,797,Martín Demichelis,Centre-Back,22,River Plate, Argentina,Bayern Munich ,1.Bundesliga,2003-2004,2.5,5.0,D
